Model Name,Short_Name,Speedup
Base DistilBERT,Base Distil,1.0
DAPT-DistilBERT,DAPT-Distil,0.9675801553652026
XLM-R Base,XLM-R Base,0.5365210326280806
Optimized DAPT,Optimized DAPT,8.135398060900995
