Model Name,Short_Name,Latency_ms,Macro_F1
Optimized DAPT,Optimized DAPT,3.910326812973586,0.8033603282582874
Base DistilBERT,Base Distil,31.812065171754483,0.7906838988015475
DAPT-DistilBERT,DAPT-Distil,32.87796364503504,0.8147004464784394
XLM-R Base,XLM-R Base,59.29323034350973,0.8184212356422654
