Model Name,Short_Name,Latency_ms
Base DistilBERT,Base Distil,31.812065171754483
DAPT-DistilBERT,DAPT-Distil,32.87796364503504
XLM-R Base,XLM-R Base,59.29323034350973
Optimized DAPT,Optimized DAPT,3.910326812973586
