Model Name,Short_Name,Macro_F1
Base DistilBERT,Base Distil,0.7906838988015475
DAPT-DistilBERT,DAPT-Distil,0.8147004464784394
XLM-R Base,XLM-R Base,0.8184212356422654
Optimized DAPT,Optimized DAPT,0.8033603282582874
