Model Name,Short_Name,Retention_Pct
Model A (Base DistilmBERT),A (Base Distil),96.7536371287724
Model A (Base DistilmBERT),A (Base Distil),96.7536371287724
Model B (DAPT-DistilmBERT),B (DAPT-Distil),97.2826740411206
Model B (DAPT-DistilmBERT),B (DAPT-Distil),97.2826740411206
Model C (XLM-R Base),C (XLM-R Base),100.0
Model C (XLM-R Base),C (XLM-R Base),100.0
Model D (Optimized DAPT),D (Optimized DAPT),96.12841168690633
Model D (Optimized DAPT),D (Optimized DAPT),96.12841168690633
